"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8773","TC010 - Login button is visible and enabled","webkit","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","click_login_button.spec.ts","",""
"","10813","TC005 - User can type into the email field","firefox","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","4406","TC006 - Password field is visible and enabled","chromium","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","5676","TC007 - User can type into the password field","webkit","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","5739","TC006 - Password field is visible and enabled","webkit","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","10899","TC011 - Valid credentials navigate away from login page","firefox","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","click_login_button.spec.ts","",""
"","9728","TC011 - Valid credentials navigate away from login page","chromium","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","click_login_button.spec.ts","",""
"","12975","TC013 - Pressing Enter on password field submits the form","firefox","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","click_login_button.spec.ts","",""
"","9808","TC002 - Login form heading is visible on the page","firefox","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","open_login_page.spec.ts","",""
"","3885","TC001 - Login page loads with correct title","chromium","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","open_login_page.spec.ts","",""
"","4785","TC009 - Empty email prevents form submission","chromium","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","4249","Login button submits with keyboard Enter key as well","chromium","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","login.spec.ts","",""
"","9136","TC012 - Invalid credentials show error message","firefox","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","click_login_button.spec.ts","",""
"","1649","has title","webkit","2026-05-19","passed","2026-05-19","","example.spec.ts","",""
"","4239","Email field rejects empty value (HTML5 required validation)","webkit","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","login.spec.ts","",""
"","9218","Login form section is visible on the page","firefox","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","login.spec.ts","",""
"","4145","Email field rejects empty value (HTML5 required validation)","chromium","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","login.spec.ts","",""
"","9737","TC003 - Login page returns HTTP 200 status","chromium","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","open_login_page.spec.ts","",""
"","4126","Mission Automation Demo - First Test","chromium","2026-05-19","passed","2026-05-19","","my-first-test.spec.ts","",""
"","5876","Mission Automation Demo - First Test","firefox","2026-05-19","passed","2026-05-19","","my-first-test.spec.ts","",""
"","5886","User can fill both email and password fields","firefox","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","login.spec.ts","",""
"","10019","Clicking login with valid credentials navigates away from login page","webkit","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","login.spec.ts","",""
"","5118","Login page loads and title is correct","webkit","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","login.spec.ts","",""
"","5604","TC008 - User can fill both email and password fields","webkit","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","2757","Login button is visible and clickable","chromium","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","login.spec.ts","",""
"","7488","TC001 - Login page loads with correct title","firefox","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","open_login_page.spec.ts","",""
"","3169","User can fill both email and password fields","chromium","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","login.spec.ts","",""
"","6501","TC009 - Empty email prevents form submission","webkit","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","8547","TC008 - User can fill both email and password fields","firefox","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","5974","TC005 - User can type into the email field","webkit","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","3729","Login page loads and title is correct","chromium","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","login.spec.ts","",""
"","9869","TC010 - Login button is visible and enabled","chromium","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","click_login_button.spec.ts","",""
"","6085","User can type into the email field","webkit","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","login.spec.ts","",""
"","4899","User can type into the email field","firefox","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","login.spec.ts","",""
"","8247","get started link","firefox","2026-05-19","passed","2026-05-19","","example.spec.ts","",""
"","4278","Login URL is reachable (HTTP 200)","webkit","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","login.spec.ts","",""
"","3933","TC008 - User can fill both email and password fields","chromium","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","8885","Clicking login with invalid credentials shows an error message","webkit","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","login.spec.ts","",""
"","2525","TC002 - Login form heading is visible on the page","chromium","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","open_login_page.spec.ts","",""
"","6732","User can type into the password field","webkit","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","login.spec.ts","",""
"","7454","Clicking login with valid credentials navigates away from login page","firefox","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","login.spec.ts","",""
"","3650","TC004 - Email field is visible and enabled","chromium","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","5357","TC006 - Password field is visible and enabled","firefox","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","3680","User can type into the email field","chromium","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","login.spec.ts","",""
"","4660","TC001 - Login page loads with correct title","webkit","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","open_login_page.spec.ts","",""
"","5459","Clicking login with valid credentials navigates away from login page","chromium","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","login.spec.ts","",""
"","4198","Login form section is visible on the page","webkit","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","login.spec.ts","",""
"","5590","TC005 - User can type into the email field","chromium","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","8685","TC004 - Email field is visible and enabled","firefox","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","3844","Mission Automation Demo - First Test","webkit","2026-05-19","passed","2026-05-19","","my-first-test.spec.ts","",""
"","6438","Login URL is reachable (HTTP 200)","firefox","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","login.spec.ts","",""
"","9011","TC012 - Invalid credentials show error message","chromium","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","click_login_button.spec.ts","",""
"","6119","Clicking login with invalid credentials shows an error message","firefox","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","login.spec.ts","",""
"","2205","get started link","webkit","2026-05-19","passed","2026-05-19","","example.spec.ts","",""
"","8946","TC013 - Pressing Enter on password field submits the form","webkit","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","click_login_button.spec.ts","",""
